0,0,0.00727891
0,1,0.00107941
0,2,0.00126135
0,3,0.000808444
0,4,0.000970976
0,5,0.000831466
0,6,0.000707623
0,7,0.000790737
0,8,0.000736402
0,9,0.00072114
0,10,0.000645589
0,11,0.000625215
0,12,0.000763222
0,13,0.000757872
0,14,0.00073765
0,15,0.000766109
0,16,0.000753513
0,17,0.00083318
0,18,0.000787189
0,19,0.000783686
0,20,0.000827379
0,21,0.000795386
0,22,0.000834791
0,23,0.000738407
0,24,0.000715591
0,25,0.000720645
0,26,0.000833153
0,27,0.00079851
0,28,0.000709159
0,29,0.000614402
0,30,0.000562236
0,31,0.000538389
0,32,0.000506856
0,33,0.000525603
0,34,0.000527339
0,35,0.00048667
0,36,0.000432835
0,37,0.000439377
0,38,0.000432315
0,39,0.000415486
0,40,0.000446924
0,41,0.000448907
0,42,0.000389153
0,43,0.000400512
0,44,0.000406228
0,45,0.00039825
0,46,0.000373506
0,47,0.00040995
0,48,0.000378304
0,49,0.000394745
0,50,0.000423793
0,51,0.000371775
0,52,0.000425031
0,53,0.000484141
0,54,0.00047533
0,55,0.000330364
0,56,0.000280809
0,57,0.000207802
0,58,0.000170728
0,59,0.000133061
0,60,0.000139695
0,61,0.00012814
0,62,0.000144612
0,63,0.000157504
0,64,0.000115893
0,65,7.98E-05
0,66,4.84E-05
0,67,2.81E-05
0,68,1.32E-05
0,69,2.55E-06
0,70,2.13E-06
0,71,3.57E-06
0,72,6.55E-06
0,73,2.13E-06
0,74,3.11E-06
0,75,1.03E-07
0,76,0
0,77,0
0,78,0
0,79,0
0,80,0
0,81,0
0,82,0
0,83,0
0,84,0
0,85,0
0,86,0
0,87,0
0,88,0
0,89,0
1,0,0.00694775
1,1,0.00113191
1,2,0.00120663
1,3,0.0010249
1,4,0.00103116
1,5,0.000771681
1,6,0.000749843
1,7,0.000651372
1,8,0.000847238
1,9,0.000816912
1,10,0.000763619
1,11,0.000672704
1,12,0.000675034
1,13,0.000795505
1,14,0.000736607
1,15,0.000759724
1,16,0.000873685
1,17,0.000899709
1,18,0.000844038
1,19,0.000790511
1,20,0.000811482
1,21,0.000779529
1,22,0.000829835
1,23,0.000746934
1,24,0.000813684
1,25,0.000854195
1,26,0.000705005
1,27,0.000684797
1,28,0.000726084
1,29,0.000564937
1,30,0.000520805
1,31,0.000513577
1,32,0.000444497
1,33,0.000444407
1,34,0.000491459
1,35,0.000459872
1,36,0.000465548
1,37,0.000425594
1,38,0.000387732
1,39,0.000414203
1,40,0.000404469
1,41,0.000456239
1,42,0.000437811
1,43,0.000438767
1,44,0.000381147
1,45,0.000392423
1,46,0.000412936
1,47,0.000385995
1,48,0.000403171
1,49,0.000382851
1,50,0.000437045
1,51,0.00039224
1,52,0.000380721
1,53,0.000438186
1,54,0.000439947
1,55,0.000333033
1,56,0.000264355
1,57,0.000196054
1,58,0.000167047
1,59,0.000141338
1,60,0.000109934
1,61,0.000102869
1,62,0.000101324
1,63,0.000113905
1,64,0.000120768
1,65,7.11E-05
1,66,5.80E-05
1,67,4.09E-05
1,68,1.67E-05
1,69,1.03E-05
1,70,6.27E-06
1,71,1.18E-05
1,72,9.47E-06
1,73,8.09E-06
1,74,9.74E-06
1,75,4.05E-07
1,76,0
1,77,0
1,78,0
1,79,0
1,80,0
1,81,0
1,82,0
1,83,0
1,84,0
1,85,0
1,86,0
1,87,0
1,88,0
1,89,0
2,0,0.00343598
2,1,0.00144225
2,2,0.00140284
2,3,0.00098305
2,4,0.000791759
2,5,0.000905164
2,6,0.000746103
2,7,0.000719113
2,8,0.000706909
2,9,0.000922779
2,10,0.000857915
2,11,0.000709677
2,12,0.00071454
2,13,0.000694505
2,14,0.000710632
2,15,0.000837535
2,16,0.000862155
2,17,0.000841281
2,18,0.000778858
2,19,0.000815303
2,20,0.000790366
2,21,0.000718731
2,22,0.000801886
2,23,0.000807875
2,24,0.000789059
2,25,0.000861685
2,26,0.000846518
2,27,0.00073135
2,28,0.000708592
2,29,0.000635584
2,30,0.000562721
2,31,0.000553479
2,32,0.00054598
2,33,0.000486146
2,34,0.000528438
2,35,0.000484606
2,36,0.000468774
2,37,0.000453021
2,38,0.00043912
2,39,0.000483545
2,40,0.000429327
2,41,0.000435407
2,42,0.000462717
2,43,0.00045707
2,44,0.000417989
2,45,0.000385283
2,46,0.000420416
2,47,0.000396962
2,48,0.000429471
2,49,0.000405026
2,50,0.000377962
2,51,0.00042057
2,52,0.000387618
2,53,0.000409952
2,54,0.000343309
2,55,0.000320667
2,56,0.000268237
2,57,0.00020644
2,58,0.000178445
2,59,0.000126474
2,60,0.000102458
2,61,9.88E-05
2,62,7.56E-05
2,63,7.95E-05
2,64,0.00010722
2,65,7.92E-05
2,66,5.30E-05
2,67,3.73E-05
2,68,2.72E-05
2,69,1.76E-05
2,70,1.22E-05
2,71,1.53E-05
2,72,3.92E-05
2,73,2.25E-05
2,74,2.86E-05
2,75,3.78E-06
2,76,0
2,77,0
2,78,0
2,79,0
2,80,0
2,81,0
2,82,0
2,83,0
2,84,0
2,85,0
2,86,0
2,87,0
2,88,0
2,89,0
3,0,0.00320801
3,1,0.00105375
3,2,0.0010428
3,3,0.000883451
3,4,0.000935414
3,5,0.0010049
3,6,0.000824755
3,7,0.000707614
3,8,0.000820116
3,9,0.000827657
3,10,0.000744931
3,11,0.000751104
3,12,0.000725615
3,13,0.000755095
3,14,0.000770058
3,15,0.000686806
3,16,0.000803266
3,17,0.000904524
3,18,0.000960359
3,19,0.000890887
3,20,0.000887619
3,21,0.000851301
3,22,0.000842275
